Image Name,Comment,Is_English
aespa2.txt,Congratulations Girls 🔥,True
aespa2.txt,Literally in love with Karina hair this comeback 👏👏👏,True
aespa2.txt,CAKEP CAKEP BANGET TOLONKKKKKKK AKKKHHHHH,True
aespa2.txt,Congrats my girls 😍❤️‍🔥,True
aespa2.txt,CEWEKU,True
aespa2.txt,IMMA GET IT DONE 🔛🔝,True
aespa2.txt,"Both songs are great, congratulations on getting first place💙🌙⭐️🦋‪",True
aespa3.txt,I am obbssest with this outfits😍🔥,True
aespa3.txt,GISELLE ATE SO HARD THIS COMEBACK,True
aespa3.txt,The era for WINTER: SPICY. The era for Karina: DRAMA. The era for ningning:NEXT LEVEL. The era for Giselle : ARMAGEDDON,True
aespa3.txt,"the wordplay with armageddon being ""imma get it done"" needs to be put in the pop bible istg",True
aespa3.txt,gisele being the main hole again..... lack of dancing again...,True
aespa3.txt,WOIII GISELLE SKSKSK GAKUATTTT,True
aespa3.txt,my eyes are only focused on Ning ❤️‍🔥,True
aespa3.txt,This is definitely Gisele's era!!!,True
aespa3.txt,I can’t take my eyes of giselle 🥹,True
aespa3.txt,this is karina and giselle era for sure .,True
aespa3.txt,The songs is cool but in my opinion it didn‘t need the singing part in the second verse. Sounds a bit too bright for a dark type song like this. Really like the chorus though!,True
aespa3.txt,The last winter 😭,True
aespa3.txt,Giselle’s snap and body wave 👌,True
aespa3.txt,GISELLE SLAYED THIS COMEBACK I SWEAR ❤️❤️,True
aespa3.txt,Ningning devouring🔥🔥🔥 yes main slayer🔥🔥,True
aespa3.txt,"Its sonds like perfect song for ""Got the beat""",True
aespa3.txt,Winter's moves are so clean and unreal smooth . Lead dancer for a reason 🔥,True
aespa3.txt,I'm so happy to see Giselle... She improved so much in dance... It's unbelievable ❤️,True
aespa3.txt,girl put the cd player back in stop,True
aespa3.txt,They are really synchronised now..🔥,True
aespa3.txt,"Seriously, how come the main rapper sings for 2 seconds in a hip-hop song? How frustrating again.",True
aespa3.txt,The bounce at start is sooooo 🤯👑,True
aespa3.txt,IM SUPER ADDICTED,True
aespa3.txt,winter owns this dance🥹,True
aespa3.txt,THE SONG IS SO GOOD OMG I LOVE IT,True
aespa3.txt,LOVE IT SO MUCHHHHHH🖤,True
aespa3.txt,can't wait to see itzy doing this challenge ❤️‍🔥,True
aespa3.txt,Winter at the end 😂,True
aespa3.txt,i cant get my eyes off giselle my girlie is getting so much recognition lately!!💗💗,True
aespa3.txt,The aespa's iconic bouncee🔥,True
aespa3.txt,Ningning slayed so hard 💯🔥,True
aespa3.txt,Oh yeah this Karina favorite song😂,True
aespa3.txt,I can't with winrina popping 🔥... the girls r killing it 😍,True
aespa3.txt,JAW ON THE FLOOR,True
aespa3.txt,winter❤️,True
aespa3.txt,Song of the year 🔥😍,True
aespa3.txt,"ngl this choreo feels like it was literally made for Giselle, goddamn she ATE",True
aespa3.txt,I love y’all’s outfits 😍😍,True
aespa3.txt,YES GISELLE!! YES!!! TELL EM'!!!!!!,True
aespa3.txt,SM better let them wear this outfit and hairstyle for music show bcs they ATE,True
aespa3.txt,bro giselle… yeah she owning this comeback i fear,True
aespa3.txt,"What amazing comeback, congratulations girls.",True
aespa3.txt,WINTER?? TU TÁ UMA DEUSA MULHER,True
aespa3.txt,Their dance more sharper and more synchronise! Props for them! 👏🏼👏🏼 Hardwork and practice really paid off 🙌🏼❤️,True
aespa3.txt,AOWNEIWNSHWOSBWIW ADUHHH CAKEP BGTTT SMUA NYA INI,True
aespa3.txt,aespa the best 💙,True
aespa3.txt,Winter &karina popping is the pest honestly,True
aespa3.txt,Love the outfit😍,True
aespa3.txt,Armageddon or Armageddon generally refers to the end of times or a major and devastating apocalyptic disaster in various religions and cultures. This word can also refer to a major defeat. #freepalestine,True
aespa3.txt,The siren in the backkkk,True
aespa3.txt,This is Giselle era for sure😭,True
aespa3.txt,Best believe I'm stealing that brown fit,True
aespa3.txt,This is Giselle's Era and we're here for it!!,True
aespa3.txt,this is my religion,True
aespa3.txt,Can I say that I love Giselle s hairstyle here!,True
aespa3.txt,That’s the squad right here,True
aespa3.txt,I can’t breathe ningning,True
aespa3.txt,winter 🔥😍❤️‍🔥,True
aespa3.txt,and if I say giselle kinda ate up the dancers of the group??,True
aespa3.txt,"Ugh, you guys fire it",True
aespa3.txt,ate asl,True
aespa3.txt,The new album is soooo boring 😭,True
aespa3.txt,outfits slayed a lil to hard 😭😍,True
aespa3.txt,This giselle is hitting different 🖤,True
aespa3.txt,GISSELEEEEE ESTA IMPECAVEEEL,True
aespa3.txt,Karina's body pop hits si hard 😭❤️,True
aespa3.txt,THIS IS GIGI’S ERA I COULDN’T STOP LOOKING AT HER,True
aespa3.txt,BRO THIS IS LEGIT,True
aespa3.txt,"Smart people will blame SM,",True
aespa3.txt,Why winter clothe?,True
aespa3.txt,karina’s rap in the beginning of armageddon was too good,True
aespa3.txt,Aespa can’t be two!,True
aespa3.txt,Wish Giselle use thus hairstyle too on comeback stage,True
aespa3.txt,You are too perfect❤️,True
aespa3.txt,Those were probably up cycled pants turned into warmers neat!!,True
aespa3.txt,THE MUSIC VIDEO WAS FIREEEEE❤️‍🔥,True
aespa3.txt,I wanted to see more rap from Giselle but that didnt happen😭 still proud of our queens tho x,True
aespa3.txt,Giselle and Ningning are so in sync😩🔥🔥,True
aespa3.txt,Love this bangeerrr🔥🔥🔥,True
aespa3.txt,winter🔥🔥🔥,True
aespa3.txt,they all slayed,True
